카테고리,단어,뜻,예문,해석,학습 상태
고급 필수 영단어,candid,[형용사] 솔직한,The lesson explains the word 'candid' clearly.,그 수업은 'candid'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,censure,"[동사/명사] 비난하다, 비난",The lesson explains the word 'censure' clearly.,그 수업은 'censure'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,circumvent,[동사] 우회하다,The lesson explains the word 'circumvent' clearly.,그 수업은 'circumvent'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,coalesce,[동사] 합쳐지다,The lesson explains the word 'coalesce' clearly.,그 수업은 'coalesce'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,cogent,[형용사] 설득력 있는,The lesson explains the word 'cogent' clearly.,그 수업은 'cogent'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,commensurate,[형용사] 비례하는,The lesson explains the word 'commensurate' clearly.,그 수업은 'commensurate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,concede,"[동사] 인정하다, 양보하다",The lesson explains the word 'concede' clearly.,그 수업은 'concede'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,convoluted,[형용사] 복잡한,The lesson explains the word 'convoluted' clearly.,그 수업은 'convoluted'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,copious,[형용사] 풍부한,The lesson explains the word 'copious' clearly.,그 수업은 'copious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,corroborate,[동사] 확증하다,The lesson explains the word 'corroborate' clearly.,그 수업은 'corroborate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,culminate,[동사] 절정에 달하다,The lesson explains the word 'culminate' clearly.,그 수업은 'culminate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,dearth,[명사] 부족,The lesson explains the word 'dearth' clearly.,그 수업은 'dearth'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,debilitate,[동사] 약화시키다,The lesson explains the word 'debilitate' clearly.,그 수업은 'debilitate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,defer,"[동사] 연기하다, 따르다",The lesson explains the word 'defer' clearly.,그 수업은 'defer'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,delineate,[동사] 묘사하다,The lesson explains the word 'delineate' clearly.,그 수업은 'delineate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,denounce,[동사] 비난하다,The lesson explains the word 'denounce' clearly.,그 수업은 'denounce'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,deride,[동사] 조롱하다,The lesson explains the word 'deride' clearly.,그 수업은 'deride'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,despondent,[형용사] 낙담한,The lesson explains the word 'despondent' clearly.,그 수업은 'despondent'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,detrimental,[형용사] 해로운,The lesson explains the word 'detrimental' clearly.,그 수업은 'detrimental'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,dichotomy,[명사] 이분법,The lesson explains the word 'dichotomy' clearly.,그 수업은 'dichotomy'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,diffident,[형용사] 자신 없는,The lesson explains the word 'diffident' clearly.,그 수업은 'diffident'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,diligent,[형용사] 성실한,The lesson explains the word 'diligent' clearly.,그 수업은 'diligent'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,disparate,[형용사] 이질적인,The lesson explains the word 'disparate' clearly.,그 수업은 'disparate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,disseminate,[동사] 퍼뜨리다,The lesson explains the word 'disseminate' clearly.,그 수업은 'disseminate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,dogmatic,[형용사] 독단적인,The lesson explains the word 'dogmatic' clearly.,그 수업은 'dogmatic'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,elicit,[동사] 이끌어내다,The lesson explains the word 'elicit' clearly.,그 수업은 'elicit'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,emulate,[동사] 모방하다,The lesson explains the word 'emulate' clearly.,그 수업은 'emulate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,enervate,[동사] 기운을 빼앗다,The lesson explains the word 'enervate' clearly.,그 수업은 'enervate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,ephemeral,[형용사] 덧없는,The lesson explains the word 'ephemeral' clearly.,그 수업은 'ephemeral'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,equivocal,[형용사] 모호한,The lesson explains the word 'equivocal' clearly.,그 수업은 'equivocal'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,erudite,[형용사] 박식한,The lesson explains the word 'erudite' clearly.,그 수업은 'erudite'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,esoteric,[형용사] 난해한,The lesson explains the word 'esoteric' clearly.,그 수업은 'esoteric'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,exacerbate,[동사] 악화시키다,The lesson explains the word 'exacerbate' clearly.,그 수업은 'exacerbate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,exonerate,[동사] 무죄로 하다,The lesson explains the word 'exonerate' clearly.,그 수업은 'exonerate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,expedite,[동사] 신속히 처리하다,The lesson explains the word 'expedite' clearly.,그 수업은 'expedite'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,fallacious,[형용사] 그릇된,The lesson explains the word 'fallacious' clearly.,그 수업은 'fallacious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,fastidious,[형용사] 까다로운,The lesson explains the word 'fastidious' clearly.,그 수업은 'fastidious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,fortuitous,[형용사] 우연한,The lesson explains the word 'fortuitous' clearly.,그 수업은 'fortuitous'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,frugal,[형용사] 절약하는,The lesson explains the word 'frugal' clearly.,그 수업은 'frugal'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,garrulous,[형용사] 수다스러운,The lesson explains the word 'garrulous' clearly.,그 수업은 'garrulous'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,gregarious,[형용사] 사교적인,The lesson explains the word 'gregarious' clearly.,그 수업은 'gregarious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,hackneyed,[형용사] 진부한,The lesson explains the word 'hackneyed' clearly.,그 수업은 'hackneyed'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,iconoclast,[명사] 인습 타파자,The lesson explains the word 'iconoclast' clearly.,그 수업은 'iconoclast'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,immutable,[형용사] 변하지 않는,The lesson explains the word 'immutable' clearly.,그 수업은 'immutable'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,impede,[동사] 방해하다,The lesson explains the word 'impede' clearly.,그 수업은 'impede'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,implacable,[형용사] 달랠 수 없는,The lesson explains the word 'implacable' clearly.,그 수업은 'implacable'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,inadvertent,[형용사] 부주의한,The lesson explains the word 'inadvertent' clearly.,그 수업은 'inadvertent'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,incontrovertible,[형용사] 논박할 수 없는,The lesson explains the word 'incontrovertible' clearly.,그 수업은 'incontrovertible'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,indolent,[형용사] 게으른,The lesson explains the word 'indolent' clearly.,그 수업은 'indolent'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,ineffable,[형용사] 말로 표현할 수 없는,The lesson explains the word 'ineffable' clearly.,그 수업은 'ineffable'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,inexorable,[형용사] 냉혹한,The lesson explains the word 'inexorable' clearly.,그 수업은 'inexorable'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,ingenuous,[형용사] 순진한,The lesson explains the word 'ingenuous' clearly.,그 수업은 'ingenuous'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,insidious,[형용사] 교활한,The lesson explains the word 'insidious' clearly.,그 수업은 'insidious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,intrepid,[형용사] 용감한,The lesson explains the word 'intrepid' clearly.,그 수업은 'intrepid'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,laconic,[형용사] 간결한,The lesson explains the word 'laconic' clearly.,그 수업은 'laconic'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,laudable,[형용사] 칭찬할 만한,The lesson explains the word 'laudable' clearly.,그 수업은 'laudable'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,lucid,[형용사] 명료한,The lesson explains the word 'lucid' clearly.,그 수업은 'lucid'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,magnanimous,[형용사] 관대한,The lesson explains the word 'magnanimous' clearly.,그 수업은 'magnanimous'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,malleable,"[형용사] 잘 변하는, 순응적인",The lesson explains the word 'malleable' clearly.,그 수업은 'malleable'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,mendacious,[형용사] 거짓말하는,The lesson explains the word 'mendacious' clearly.,그 수업은 'mendacious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,mitigate,[동사] 완화하다,The lesson explains the word 'mitigate' clearly.,그 수업은 'mitigate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,nefarious,[형용사] 사악한,The lesson explains the word 'nefarious' clearly.,그 수업은 'nefarious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,obdurate,[형용사] 완고한,The lesson explains the word 'obdurate' clearly.,그 수업은 'obdurate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,obfuscate,[동사] 혼란스럽게 하다,The lesson explains the word 'obfuscate' clearly.,그 수업은 'obfuscate'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,ostensible,[형용사] 표면상의,The lesson explains the word 'ostensible' clearly.,그 수업은 'ostensible'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,paragon,[명사] 모범,The lesson explains the word 'paragon' clearly.,그 수업은 'paragon'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,perfunctory,[형용사] 형식적인,The lesson explains the word 'perfunctory' clearly.,그 수업은 'perfunctory'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,perspicacious,[형용사] 통찰력 있는,The lesson explains the word 'perspicacious' clearly.,그 수업은 'perspicacious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,prolific,[형용사] 다작의,The lesson explains the word 'prolific' clearly.,그 수업은 'prolific'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,quintessential,[형용사] 전형적인,The lesson explains the word 'quintessential' clearly.,그 수업은 'quintessential'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,reticent,[형용사] 말이 없는,The lesson explains the word 'reticent' clearly.,그 수업은 'reticent'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,scrupulous,[형용사] 양심적인,The lesson explains the word 'scrupulous' clearly.,그 수업은 'scrupulous'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,tenacious,[형용사] 끈질긴,The lesson explains the word 'tenacious' clearly.,그 수업은 'tenacious'라는 단어를 명확히 설명한다.,미학습
고급 필수 영단어,ubiquitous,[형용사] 어디에나 있는,The lesson explains the word 'ubiquitous' clearly.,그 수업은 'ubiquitous'라는 단어를 명확히 설명한다.,미학습
여행 영어,airport,[명사] 공항,I used the word 'airport' during my trip.,나는 여행 중에 'airport'라는 표현을 사용했다.,미학습
여행 영어,airline,[명사] 항공사,I used the word 'airline' during my trip.,나는 여행 중에 'airline'라는 표현을 사용했다.,미학습
여행 영어,visa,[명사] 비자,I used the word 'visa' during my trip.,나는 여행 중에 'visa'라는 표현을 사용했다.,미학습
여행 영어,ticket,[명사] 표,I used the word 'ticket' during my trip.,나는 여행 중에 'ticket'라는 표현을 사용했다.,암기 완료
여행 영어,gate,[명사] 탑승구,I used the word 'gate' during my trip.,나는 여행 중에 'gate'라는 표현을 사용했다.,미학습
여행 영어,flight,[명사] 항공편,I used the word 'flight' during my trip.,나는 여행 중에 'flight'라는 표현을 사용했다.,미학습
여행 영어,cancel,[동사] 취소하다,I used the word 'cancel' during my trip.,나는 여행 중에 'cancel'라는 표현을 사용했다.,미학습
여행 영어,suitcase,[명사] 여행가방,I used the word 'suitcase' during my trip.,나는 여행 중에 'suitcase'라는 표현을 사용했다.,미학습
여행 영어,immigration,[명사] 입국 심사,I used the word 'immigration' during my trip.,나는 여행 중에 'immigration'라는 표현을 사용했다.,미학습
여행 영어,confirmation,[명사] 확인,I used the word 'confirmation' during my trip.,나는 여행 중에 'confirmation'라는 표현을 사용했다.,미학습
여행 영어,hotel,[명사] 호텔,I used the word 'hotel' during my trip.,나는 여행 중에 'hotel'라는 표현을 사용했다.,미학습
여행 영어,check-in,[명사/동사] 체크인,I used the word 'check-in' during my trip.,나는 여행 중에 'check-in'라는 표현을 사용했다.,미학습
여행 영어,check-out,[명사/동사] 체크아웃,I used the word 'check-out' during my trip.,나는 여행 중에 'check-out'라는 표현을 사용했다.,미학습
여행 영어,reception,[명사] 접수처,I used the word 'reception' during my trip.,나는 여행 중에 'reception'라는 표현을 사용했다.,미학습
여행 영어,room key,[명사] 객실 열쇠,I used the word 'room key' during my trip.,나는 여행 중에 'room key'라는 표현을 사용했다.,미학습
여행 영어,single room,[명사] 1인실,I used the word 'single room' during my trip.,나는 여행 중에 'single room'라는 표현을 사용했다.,미학습
여행 영어,double room,[명사] 2인실,I used the word 'double room' during my trip.,나는 여행 중에 'double room'라는 표현을 사용했다.,미학습
여행 영어,breakfast,[명사] 아침 식사,I used the word 'breakfast' during my trip.,나는 여행 중에 'breakfast'라는 표현을 사용했다.,미학습
여행 영어,restaurant,[명사] 식당,I used the word 'restaurant' during my trip.,나는 여행 중에 'restaurant'라는 표현을 사용했다.,미학습
여행 영어,menu,[명사] 메뉴,I used the word 'menu' during my trip.,나는 여행 중에 'menu'라는 표현을 사용했다.,미학습
여행 영어,order,"[동사/명사] 주문하다, 주문",I used the word 'order' during my trip.,나는 여행 중에 'order'라는 표현을 사용했다.,미학습
여행 영어,bill,[명사] 계산서,I used the word 'bill' during my trip.,나는 여행 중에 'bill'라는 표현을 사용했다.,미학습
여행 영어,tip,[명사] 팁,I used the word 'tip' during my trip.,나는 여행 중에 'tip'라는 표현을 사용했다.,미학습
여행 영어,table,[명사] 테이블,I used the word 'table' during my trip.,나는 여행 중에 'table'라는 표현을 사용했다.,미학습
여행 영어,waiter,[명사] 웨이터,I used the word 'waiter' during my trip.,나는 여행 중에 'waiter'라는 표현을 사용했다.,미학습
여행 영어,waitress,[명사] 웨이트리스,I used the word 'waitress' during my trip.,나는 여행 중에 'waitress'라는 표현을 사용했다.,미학습
여행 영어,vegetarian,"[명사/형용사] 채식주의자, 채식의",I used the word 'vegetarian' during my trip.,나는 여행 중에 'vegetarian'라는 표현을 사용했다.,미학습
여행 영어,allergy,[명사] 알레르기,I used the word 'allergy' during my trip.,나는 여행 중에 'allergy'라는 표현을 사용했다.,미학습
여행 영어,spicy,[형용사] 매운,I used the word 'spicy' during my trip.,나는 여행 중에 'spicy'라는 표현을 사용했다.,미학습
여행 영어,delicious,[형용사] 맛있는,I used the word 'delicious' during my trip.,나는 여행 중에 'delicious'라는 표현을 사용했다.,미학습
여행 영어,water bottle,[명사] 물병,I used the word 'water bottle' during my trip.,나는 여행 중에 'water bottle'라는 표현을 사용했다.,미학습
여행 영어,coffee shop,[명사] 커피숍,I used the word 'coffee shop' during my trip.,나는 여행 중에 'coffee shop'라는 표현을 사용했다.,미학습
여행 영어,taxi,[명사] 택시,I used the word 'taxi' during my trip.,나는 여행 중에 'taxi'라는 표현을 사용했다.,미학습
여행 영어,bus,[명사] 버스,I used the word 'bus' during my trip.,나는 여행 중에 'bus'라는 표현을 사용했다.,미학습
여행 영어,train,[명사] 기차,I used the word 'train' during my trip.,나는 여행 중에 'train'라는 표현을 사용했다.,미학습
여행 영어,subway,[명사] 지하철,I used the word 'subway' during my trip.,나는 여행 중에 'subway'라는 표현을 사용했다.,미학습
여행 영어,station,[명사] 역,I used the word 'station' during my trip.,나는 여행 중에 'station'라는 표현을 사용했다.,미학습
여행 영어,platform,[명사] 승강장,I used the word 'platform' during my trip.,나는 여행 중에 'platform'라는 표현을 사용했다.,미학습
여행 영어,map,[명사] 지도,I used the word 'map' during my trip.,나는 여행 중에 'map'라는 표현을 사용했다.,미학습
여행 영어,address,[명사] 주소,I used the word 'address' during my trip.,나는 여행 중에 'address'라는 표현을 사용했다.,미학습
여행 영어,direction,[명사] 방향,I used the word 'direction' during my trip.,나는 여행 중에 'direction'라는 표현을 사용했다.,미학습
여행 영어,left,[명사/형용사] 왼쪽,I used the word 'left' during my trip.,나는 여행 중에 'left'라는 표현을 사용했다.,미학습
여행 영어,right,[명사/형용사] 오른쪽,I used the word 'right' during my trip.,나는 여행 중에 'right'라는 표현을 사용했다.,미학습
여행 영어,straight,[부사] 곧장,I used the word 'straight' during my trip.,나는 여행 중에 'straight'라는 표현을 사용했다.,미학습
여행 영어,near,[전치사] 가까이에,I used the word 'near' during my trip.,나는 여행 중에 'near'라는 표현을 사용했다.,미학습
여행 영어,far,"[형용사/부사] 먼, 멀리",I used the word 'far' during my trip.,나는 여행 중에 'far'라는 표현을 사용했다.,미학습
여행 영어,downtown,"[명사/부사] 시내, 시내에",I used the word 'downtown' during my trip.,나는 여행 중에 'downtown'라는 표현을 사용했다.,미학습
여행 영어,museum,[명사] 박물관,I used the word 'museum' during my trip.,나는 여행 중에 'museum'라는 표현을 사용했다.,미학습
여행 영어,gallery,[명사] 미술관,I used the word 'gallery' during my trip.,나는 여행 중에 'gallery'라는 표현을 사용했다.,미학습
여행 영어,beach,[명사] 해변,I used the word 'beach' during my trip.,나는 여행 중에 'beach'라는 표현을 사용했다.,미학습
여행 영어,mountain,[명사] 산,I used the word 'mountain' during my trip.,나는 여행 중에 'mountain'라는 표현을 사용했다.,미학습
여행 영어,park,[명사] 공원,I used the word 'park' during my trip.,나는 여행 중에 'park'라는 표현을 사용했다.,미학습
여행 영어,bridge,[명사] 다리,I used the word 'bridge' during my trip.,나는 여행 중에 'bridge'라는 표현을 사용했다.,미학습
여행 영어,market,[명사] 시장,I used the word 'market' during my trip.,나는 여행 중에 'market'라는 표현을 사용했다.,미학습
여행 영어,cash,[명사] 현금,I used the word 'cash' during my trip.,나는 여행 중에 'cash'라는 표현을 사용했다.,미학습
여행 영어,credit card,[명사] 신용카드,I used the word 'credit card' during my trip.,나는 여행 중에 'credit card'라는 표현을 사용했다.,미학습
여행 영어,exchange rate,[명사] 환율,I used the word 'exchange rate' during my trip.,나는 여행 중에 'exchange rate'라는 표현을 사용했다.,미학습
여행 영어,currency,[명사] 통화,I used the word 'currency' during my trip.,나는 여행 중에 'currency'라는 표현을 사용했다.,미학습
여행 영어,receipt,[명사] 영수증,I used the word 'receipt' during my trip.,나는 여행 중에 'receipt'라는 표현을 사용했다.,미학습
여행 영어,discount,[명사] 할인,I used the word 'discount' during my trip.,나는 여행 중에 'discount'라는 표현을 사용했다.,미학습
여행 영어,price,[명사] 가격,I used the word 'price' during my trip.,나는 여행 중에 'price'라는 표현을 사용했다.,미학습
여행 영어,expensive,[형용사] 비싼,I used the word 'expensive' during my trip.,나는 여행 중에 'expensive'라는 표현을 사용했다.,미학습
여행 영어,cheap,[형용사] 싼,I used the word 'cheap' during my trip.,나는 여행 중에 'cheap'라는 표현을 사용했다.,미학습
여행 영어,emergency,[명사] 응급 상황,I used the word 'emergency' during my trip.,나는 여행 중에 'emergency'라는 표현을 사용했다.,미학습
여행 영어,hospital,[명사] 병원,I used the word 'hospital' during my trip.,나는 여행 중에 'hospital'라는 표현을 사용했다.,미학습
여행 영어,pharmacy,[명사] 약국,I used the word 'pharmacy' during my trip.,나는 여행 중에 'pharmacy'라는 표현을 사용했다.,미학습
여행 영어,police,[명사] 경찰,I used the word 'police' during my trip.,나는 여행 중에 'police'라는 표현을 사용했다.,미학습
여행 영어,lost,"[형용사] 길을 잃은, 잃어버린",I used the word 'lost' during my trip.,나는 여행 중에 'lost'라는 표현을 사용했다.,미학습
여행 영어,safe,[형용사] 안전한,I used the word 'safe' during my trip.,나는 여행 중에 'safe'라는 표현을 사용했다.,미학습
여행 영어,dangerous,[형용사] 위험한,I used the word 'dangerous' during my trip.,나는 여행 중에 'dangerous'라는 표현을 사용했다.,미학습
여행 영어,help,"[명사/동사] 도움, 돕다",I used the word 'help' during my trip.,나는 여행 중에 'help'라는 표현을 사용했다.,미학습
여행 영어,toilet,[명사] 화장실,I used the word 'toilet' during my trip.,나는 여행 중에 'toilet'라는 표현을 사용했다.,미학습
여행 영어,restroom,[명사] 화장실,I used the word 'restroom' during my trip.,나는 여행 중에 'restroom'라는 표현을 사용했다.,미학습
여행 영어,entrance,[명사] 입구,I used the word 'entrance' during my trip.,나는 여행 중에 'entrance'라는 표현을 사용했다.,미학습
여행 영어,exit,[명사] 출구,I used the word 'exit' during my trip.,나는 여행 중에 'exit'라는 표현을 사용했다.,미학습
여행 영어,tour,"[명사/동사] 여행, 관광하다",I used the word 'tour' during my trip.,나는 여행 중에 'tour'라는 표현을 사용했다.,미학습
여행 영어,guide,[명사] 안내자,I used the word 'guide' during my trip.,나는 여행 중에 'guide'라는 표현을 사용했다.,미학습
여행 영어,schedule,[명사] 일정,I used the word 'schedule' during my trip.,나는 여행 중에 'schedule'라는 표현을 사용했다.,미학습
여행 영어,local,[형용사] 현지의,I used the word 'local' during my trip.,나는 여행 중에 'local'라는 표현을 사용했다.,미학습
여행 영어,photo,[명사] 사진,I used the word 'photo' during my trip.,나는 여행 중에 'photo'라는 표현을 사용했다.,미학습
여행 영어,weather,[명사] 날씨,I used the word 'weather' during my trip.,나는 여행 중에 'weather'라는 표현을 사용했다.,미학습
여행 영어,season,[명사] 계절,I used the word 'season' during my trip.,나는 여행 중에 'season'라는 표현을 사용했다.,미학습
토익 950+ 목표,allocate,[동사] 할당하다,The manager reviewed the term 'allocate' in the business report.,그 관리자는 업무 보고서에서 'allocate'라는 용어를 검토했다.,미학습
토익 950+ 목표,applicant,[명사] 지원자,The manager reviewed the term 'applicant' in the business report.,그 관리자는 업무 보고서에서 'applicant'라는 용어를 검토했다.,미학습
토익 950+ 목표,appraisal,[명사] 평가,The manager reviewed the term 'appraisal' in the business report.,그 관리자는 업무 보고서에서 'appraisal'라는 용어를 검토했다.,미학습
토익 950+ 목표,authorize,[동사] 승인하다,The manager reviewed the term 'authorize' in the business report.,그 관리자는 업무 보고서에서 'authorize'라는 용어를 검토했다.,미학습
토익 950+ 목표,benchmark,[명사] 기준,The manager reviewed the term 'benchmark' in the business report.,그 관리자는 업무 보고서에서 'benchmark'라는 용어를 검토했다.,미학습
토익 950+ 목표,confidential,[형용사] 기밀의,The manager reviewed the term 'confidential' in the business report.,그 관리자는 업무 보고서에서 'confidential'라는 용어를 검토했다.,미학습
토익 950+ 목표,deficit,"[명사] 적자, 부족",The manager reviewed the term 'deficit' in the business report.,그 관리자는 업무 보고서에서 'deficit'라는 용어를 검토했다.,미학습
토익 950+ 목표,delegate,[동사] 위임하다,The manager reviewed the term 'delegate' in the business report.,그 관리자는 업무 보고서에서 'delegate'라는 용어를 검토했다.,미학습
토익 950+ 목표,disburse,[동사] 지출하다,The manager reviewed the term 'disburse' in the business report.,그 관리자는 업무 보고서에서 'disburse'라는 용어를 검토했다.,미학습
토익 950+ 목표,diversify,[동사] 다각화하다,The manager reviewed the term 'diversify' in the business report.,그 관리자는 업무 보고서에서 'diversify'라는 용어를 검토했다.,미학습
토익 950+ 목표,endorse,"[동사] 지지하다, 승인하다",The manager reviewed the term 'endorse' in the business report.,그 관리자는 업무 보고서에서 'endorse'라는 용어를 검토했다.,미학습
토익 950+ 목표,entitlement,"[명사] 권리, 자격",The manager reviewed the term 'entitlement' in the business report.,그 관리자는 업무 보고서에서 'entitlement'라는 용어를 검토했다.,미학습
토익 950+ 목표,feasible,[형용사] 실행 가능한,The manager reviewed the term 'feasible' in the business report.,그 관리자는 업무 보고서에서 'feasible'라는 용어를 검토했다.,미학습
토익 950+ 목표,fluctuation,[명사] 변동,The manager reviewed the term 'fluctuation' in the business report.,그 관리자는 업무 보고서에서 'fluctuation'라는 용어를 검토했다.,미학습
토익 950+ 목표,forecast,"[명사/동사] 예측, 예측하다",The manager reviewed the term 'forecast' in the business report.,그 관리자는 업무 보고서에서 'forecast'라는 용어를 검토했다.,미학습
토익 950+ 목표,incentive,[명사] 장려책,The manager reviewed the term 'incentive' in the business report.,그 관리자는 업무 보고서에서 'incentive'라는 용어를 검토했다.,미학습
토익 950+ 목표,inventory,[명사] 재고,The manager reviewed the term 'inventory' in the business report.,그 관리자는 업무 보고서에서 'inventory'라는 용어를 검토했다.,미학습
토익 950+ 목표,invoice,"[명사] 송장, 청구서",The manager reviewed the term 'invoice' in the business report.,그 관리자는 업무 보고서에서 'invoice'라는 용어를 검토했다.,미학습
토익 950+ 목표,liability,"[명사] 책임, 부채",The manager reviewed the term 'liability' in the business report.,그 관리자는 업무 보고서에서 'liability'라는 용어를 검토했다.,미학습
토익 950+ 목표,merger,[명사] 합병,The manager reviewed the term 'merger' in the business report.,그 관리자는 업무 보고서에서 'merger'라는 용어를 검토했다.,미학습
토익 950+ 목표,negotiate,[동사] 협상하다,The manager reviewed the term 'negotiate' in the business report.,그 관리자는 업무 보고서에서 'negotiate'라는 용어를 검토했다.,미학습
토익 950+ 목표,outsource,[동사] 외주를 주다,The manager reviewed the term 'outsource' in the business report.,그 관리자는 업무 보고서에서 'outsource'라는 용어를 검토했다.,미학습
토익 950+ 목표,overdue,[형용사] 기한이 지난,The manager reviewed the term 'overdue' in the business report.,그 관리자는 업무 보고서에서 'overdue'라는 용어를 검토했다.,미학습
토익 950+ 목표,proposal,[명사] 제안서,The manager reviewed the term 'proposal' in the business report.,그 관리자는 업무 보고서에서 'proposal'라는 용어를 검토했다.,미학습
토익 950+ 목표,prospective,[형용사] 장래의,The manager reviewed the term 'prospective' in the business report.,그 관리자는 업무 보고서에서 'prospective'라는 용어를 검토했다.,미학습
토익 950+ 목표,quotation,[명사] 견적,The manager reviewed the term 'quotation' in the business report.,그 관리자는 업무 보고서에서 'quotation'라는 용어를 검토했다.,미학습
토익 950+ 목표,relocation,[명사] 이전,The manager reviewed the term 'relocation' in the business report.,그 관리자는 업무 보고서에서 'relocation'라는 용어를 검토했다.,미학습
토익 950+ 목표,remittance,[명사] 송금,The manager reviewed the term 'remittance' in the business report.,그 관리자는 업무 보고서에서 'remittance'라는 용어를 검토했다.,미학습
토익 950+ 목표,renovation,[명사] 보수 공사,The manager reviewed the term 'renovation' in the business report.,그 관리자는 업무 보고서에서 'renovation'라는 용어를 검토했다.,미학습
토익 950+ 목표,retention,"[명사] 유지, 보유",The manager reviewed the term 'retention' in the business report.,그 관리자는 업무 보고서에서 'retention'라는 용어를 검토했다.,미학습
토익 950+ 목표,revenue,[명사] 수익,The manager reviewed the term 'revenue' in the business report.,그 관리자는 업무 보고서에서 'revenue'라는 용어를 검토했다.,미학습
토익 950+ 목표,shortage,[명사] 부족,The manager reviewed the term 'shortage' in the business report.,그 관리자는 업무 보고서에서 'shortage'라는 용어를 검토했다.,미학습
토익 950+ 목표,terminate,[동사] 종료하다,The manager reviewed the term 'terminate' in the business report.,그 관리자는 업무 보고서에서 'terminate'라는 용어를 검토했다.,미학습
